design_id,n_stage1_per_form,n_stage2_per_order,total_response_burden,total_participants,repeated_measurement_participants,status,failed_reasons
GBM01-N1-300-N2-025,300,25,12600,650,50,SCREEN_EXCLUDED,S01:false_reliable_change;S01:se_abs_rel_error;S02:se_abs_rel_error;S03:se_abs_rel_error;S04:false_reliable_change;S04:se_abs_rel_error;S05:se_abs_rel_error;S06:se_abs_rel_error;S07:se_abs_rel_error;S08:false_reliable_change;S08:se_abs_rel_error;S09:s09_calibration_pass
GBM01-N1-075-N2-150,75,150,13500,450,300,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-300-N2-040,300,40,13680,680,80,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-100-N2-150,100,150,14400,500,300,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-200-N2-100,200,100,14400,600,200,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-300-N2-050,300,50,14400,700,100,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-050-N2-200,50,200,16200,500,400,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-150-N2-150,150,150,16200,600,300,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-300-N2-075,300,75,16200,750,150,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-400-N2-025,400,25,16200,850,50,SCREEN_EXCLUDED,S01:se_abs_rel_error;S02:se_abs_rel_error;S03:se_abs_rel_error;S04:se_abs_rel_error;S05:se_abs_rel_error;S06:se_abs_rel_error;S07:se_abs_rel_error;S08:se_abs_rel_error;S09:s09_calibration_pass
GBM01-N1-075-N2-200,75,200,17100,550,400,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-400-N2-040,400,40,17280,880,80,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-100-N2-200,100,200,18000,600,400,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-200-N2-150,200,150,18000,700,300,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-300-N2-100,300,100,18000,800,200,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-400-N2-050,400,50,18000,900,100,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-150-N2-200,150,200,19800,700,400,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-400-N2-075,400,75,19800,950,150,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-200-N2-200,200,200,21600,800,400,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-300-N2-150,300,150,21600,900,300,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-400-N2-100,400,100,21600,1000,200,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-300-N2-200,300,200,25200,1000,400,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-400-N2-150,400,150,25200,1100,300,SCREEN_EXCLUDED,S09:s09_calibration_pass
GBM01-N1-400-N2-200,400,200,28800,1200,400,SCREEN_EXCLUDED,S09:s09_calibration_pass
